id_cidade;nome_cidade;id_setor
1;Tapiratiba;1
2;Caconde;1
3;Divinolandia;1
4;São Sebastião da Grama;1
5;Mococa;1
6;São José do Rio Pardo;1
7;Vargem Grande do Sul;2
8;Casa Branca;2
9;Santa Cruz das Palmeiras;2
10;Tambau;2
11;Porto Ferreira;2
12;Descalvado;2
13;Lindoia;3
14;Serra Negra;3
15;Holambra;3
16;Arthur Nogueira;3
17;Socorro;3
18;Amparo;3
19;Jaguariuna;3
20;Itapira;3
21;Águas de Lindoia;3
22;Aguai;4
23;Mogi Guaçu;4
24;Mogi Mirim;4
25;Eng Coelho;4
26;Limeira;4
27;Pirassununga;5
28;Leme;5
29;Santa Cruz da Conceição;5
30;Araras;6
31;Rio Claro;6
32;Iracemapolis;6
33;São João da Boa Vista;7
34;Pinhal;7
35;Águas da Prata;7
